id,type,owner,plant_name,unit_number,location,capacity_mw,status,operation_start,closure_planned,note,latitude,longitude,geocoded
cogen_4,열병합발전,한국지역난방공사 동남권유통단지,한국지역난방공사 동남권유통단지,1.0,서울 송파구 문정동 280번지,32.0,운영,08년 09월,,,37.5665,126.978,False
cogen_5,열병합발전,한국지역난방공사 상암/상암2,한국지역난방공사 상암/상암2,4.0,서울특별시 마포구 하늘공원로 84,9.2,운영,01년 05월,,,37.5665,126.978,False
cogen_6,열병합발전,한국지역난방공사 삼송/원흥,한국지역난방공사 삼송/원흥,2.0,경기도 고양시 덕양구 동축로 16,100.2,운영,12년 06월,,,37.4138,127.5183,False
cogen_7,열병합발전,한국지역난방공사 수원광교,한국지역난방공사 수원광교,1.0,경기도 수원시 영통구 창룡대로 475,144.8,운영,11년 05월,,,37.4138,127.5183,False
cogen_8,열병합발전,한국지역난방공사 대구,한국지역난방공사 대구,2.0,대구광역시 달서구 달서대로 351,46.5,운영,95년 04월,,,35.8714,128.6014,False
cogen_9,열병합발전,한국지역난방공사 광주전남혁신도시,한국지역난방공사 광주전남혁신도시,1.0,전라남도 나주시 산포면 신도산단길 65,22.0,운영,12년 12월,,,,,False
cogen_10,열병합발전,한국지역난방공사 양산물금,한국지역난방공사 양산물금,2.0,경상남도 양산시 동면 강변로 266,118.9,운영,99년 11월,,,,,False
cogen_11,열병합발전,"한국지역난방공사 파주교하,운정","한국지역난방공사 파주교하,운정",2.0,경기도 파주시 청석로 380(다율동),515.5,운영,05년 09월,,,37.4138,127.5183,False
cogen_12,열병합발전,"한국지역난방공사 성남판교,도촌","한국지역난방공사 성남판교,도촌",2.0,경기도 성남시 분당구 판교로 228번길 88,146.3,운영,08년 09월,,,37.4138,127.5183,False
cogen_13,열병합발전,"한국지역난방공사 화성동탄1,2","한국지역난방공사 화성동탄1,2",8.0,경기도 화성시 동탄면 동탄기흥로 166,1280.04,운영,04년 04월,,,37.4138,127.5183,False
cogen_14,열병합발전,한국토지주택공사,한국토지주택공사,4.0,대전광역시 유성구 도안동로 323,48.3,운영,10년 08월,,,36.3504,127.3845,False
cogen_15,열병합발전,GS파워 안양,GS파워 안양,5.0,경기도 안양시 동안구 부림로 100,939.8,운영,92년 09월,,,37.4138,127.5183,False
cogen_16,열병합발전,GS파워 부천,GS파워 부천,5.0,경기도 부천시 삼작로 21,460.6,운영,92년 11월,,,37.4138,127.5183,False
cogen_17,열병합발전,안산도시개발,안산도시개발,1.0,경기도 안산시 단원구 첨단로 670 (초지동),62.6,운영,99년 09월,,,37.4138,127.5183,False
cogen_18,열병합발전,인천공항에너지㈜,인천공항에너지㈜,3.0,인천 중구 영종해안북로 1050번길 78-43(운서동),127.0,운영,01년 03월,,,37.4563,126.7052,False
cogen_19,열병합발전,위드인천에너지,위드인천에너지,1.0,인천광역시 남동구 논현고잔로 173(고잔동),24.0,운영,03년 06월,,,37.4563,126.7052,False
cogen_20,열병합발전,인천종합에너지,인천종합에너지 송도국제도시,3.0,인천 연수구 아카데미로51번길 37,187.3,운영,04년 10월,,,37.4563,126.7052,False
cogen_21,열병합발전,나래에너지서비스,나래에너지서비스,4.0,경기도 하남시 위례대로 4길 29(학암동),853.2,운영,09년 01월,,,37.4138,127.5183,False
cogen_22,열병합발전,수완에너지,수완에너지,3.0,광주광역시 광산구 수완로 130(수완동),118.0,운영,08년 04월,,,35.1595,126.8526,False
cogen_23,열병합발전,대륜발전,대륜발전,6.0,경기도 양주시 화합로 1710번길 125,654.7,운영,12년 11월,,,37.4138,127.5183,False
cogen_24,열병합발전,대구그린파워,대구그린파워,2.0,대구광역시 동구 매여로 14(율암동),415.0,운영,12년 11월,,,35.8714,128.6014,False
cogen_25,열병합발전,내포그린에너지,내포그린에너지,2.0,충청남도 예산군 삽교읍 목리 114-9,495.0,운영,12년 08월,,,,,False
cogen_26,열병합발전,춘천에너지,춘천에너지,2.0,강원 춘천시 동산면 원무동길 82,422.4,운영,17년 11월,,,37.8228,128.1555,False
cogen_27,열병합발전,㈜부산도시가스,㈜부산도시가스,22.0,부산광역시 강서구 명지국제1로 275,9.68,운영,15년 05월,,,35.1796,129.0756,False
cogen_28,열병합발전,부산정관에너지,부산정관에너지,4.0,부산광역시 기장군 정관읍 산단1로 83,100.3,운영,08년 11월,,,35.1796,129.0756,False
cogen_29,열병합발전,대성에너지㈜,대성에너지㈜,3.0,대구광역시 달성군 다사읍 대실역북로 2길 158,9.0,운영,07년 12월,,,35.8714,128.6014,False
cogen_30,열병합발전,JB 주식회사 천안청수,JB 주식회사 천안청수,3.0,충남 천안시 동남구 청수8로 56(청당동 613번지),25.0,운영,09년 10월,,,36.5184,126.8,False
cogen_31,열병합발전,JB 주식회사 아산탕정,JB 주식회사 아산탕정,2.0,충남 아산시 탕정면 탕정면로 37,7.3,운영,09년 02월,,,36.5184,126.8,False
cogen_32,열병합발전,㈜삼천리,㈜삼천리,7.0,경기도 광명시 자경로 17(일직동),48.64,운영,09년 05월,,,37.4138,127.5183,False
cogen_33,열병합발전,씨엔씨티에너지,씨엔씨티에너지,6.0,대전시 유성구 학하서로 189,25.0,운영,09년 09월,,,36.3504,127.3845,False
cogen_34,열병합발전,대성산업,대성산업,3.0,서울시 구로구 경인로 662 디큐브시티,9.0,운영,11년 08월,,,37.5665,126.978,False
cogen_35,열병합발전,지에스이앤알 반월,지에스이앤알 반월,4.0,경기도 안산시 단원구 해안로 404(초지동),83.5,운영,89년 05월,,,37.4138,127.5183,False
cogen_36,열병합발전,지에스이앤알 구미,지에스이앤알 구미,2.0,경상북도 구미시 1공단로6길 54(공단동),98.1,운영,92년 06월,,,,,False
cogen_37,열병합발전,SK에너지,SK에너지,6.0,울산광역시 남구 신여천로2,90.1,운영,00년 04월,,,35.5384,129.3114,False
cogen_38,열병합발전,김천에너지서비스,김천에너지서비스,1.0,경북 김천시 공단4길 118-10,59.0,운영,13년 07월,,,36.4919,128.8889,False
cogen_39,열병합발전,보임열병합발전(구 데이원에너지),보임열병합발전(구 데이원에너지),2.0,전남 여수시 여수산단로 727,48.4,운영,13년 01월,,,34.8679,126.991,False
cogen_40,열병합발전,한주,한주,4.0,울산광역시 남구 사평로 60,155.0,운영,92년 07월,,,35.5384,129.3114,False
cogen_41,열병합발전,GS포천그린에너지,GS포천그린에너지,1.0,경기 포천시 신북면 장자경제로 78,169.9,운영,17년 04월,,,37.4138,127.5183,False
cogen_42,열병합발전,디에스파워 주식회사,디에스파워 주식회사,2.0,경기도 오산시 황새로 149번길 55(누읍동),436.1,운영,99년 03월,,,37.4138,127.5183,False
cogen_43,열병합발전,대전열병합발전㈜,대전열병합발전㈜,1.0,대전광역시 대덕구 신일서로 68번길 71,88.2,운영,96년 11월,,,36.3504,127.3845,False
cogen_44,열병합발전,무림파워텍,무림파워텍,1.0,경남 진주시 남강로 1317번길 24,26.3,운영,99년 03월,,,35.18,128.1089,True
cogen_45,열병합발전,위드인천에너지,위드인천에너지,1.0,인천광역시 남동구 논현고잔로 173(고잔동),33.68,계획,,,,37.4563,126.7052,False
cogen_46,열병합발전,JB주식회사 - 서부발전,JB-서부발전 아산탕정2,2.0,충남 아산시 탕정면 탕정면로 37,499.6,계획,,,,36.5184,126.8,False
cogen_47,열병합발전,SK E&S,SK E&S,4.0,경기도 용인시 처인구 원삼면 독성리·죽능리·고당리 일원,1050.0,계획,,,,37.4138,127.5183,False
cogen_48,열병합발전,여수에코에너지,여수에코에너지,7.0,"전라남도 여수시 화치동 1469-1, 1472",489.9,계획,,,,,,False
cogen_49,열병합발전,포스코,포스코,2.0,전남 광양 국가산업단지 동호안 남측 부지(금호동 923번지),496.2,계획,,,,34.8679,126.991,False
cogen_50,열병합발전,한화에너지,한화에너지,6.0,전라남도 여수시 화치동 1469-2,490.0,계획,,,,,,False
cogen_51,열병합발전,인천종합에너지,인천종합에너지 학익 4구역,2.0,인천광역시 연수구 아카데미로 51번길 37,500.0,계획,,,,37.4563,126.7052,False
cogen_52,열병합발전,한국지역난방공사-남부발전,한국지역난방공사-남부발전 고양창릉,1.0,경기도 고양시 덕양구 용두동 166,498.6,계획,,,,37.4138,127.5183,False
